tests,accuracy
1000,98.2018
2000,97.951
3000,97.7674
4000,97.7506
5000,97.8004
6000,97.9003
7000,97.8432
8000,97.8003
9000,97.8002
10000,97.8602
11000,97.8547
12000,97.8002
13000,97.8232
14000,97.8002
15000,97.8335
16000,97.8251
17000,97.8472
18000,97.8612
19000,97.8317
20000,97.8351
21000,97.8287
22000,97.8137
23000,97.8088
24000,97.8001
25000,97.7801
26000,97.7924
27000,97.8075
28000,97.7822
29000,97.7966
30000,97.8034
31000,97.7904
32000,97.8094
33000,97.8061
34000,97.8001
35000,97.8229
36000,97.8362
37000,97.819
38000,97.8369
39000,97.8436
40000,97.8326
41000,97.8366
42000,97.8429
43000,97.8256
44000,97.8319
45000,97.8312
46000,97.8327
47000,97.8447
48000,97.8438
49000,97.8653
50000,97.872
51000,97.8804
52000,97.875
53000,97.8887
54000,97.8871
55000,97.8873
